,filename,title,author,task 1,task 2,task 3,github,stars
12,Sun_ACNe_Attentive_Context_Normalization_for_Robust_Permutation-Equivariant_Learning_CVPR_2020_paper,ACNe: Attentive Context Normalization for Robust Permutation-Equivariant Learning,Weiwei Sun,pose-estimation,,,https://github.com/vcg-uvic/acne,27
13,Li_Category-Level_Articulated_Object_Pose_Estimation_CVPR_2020_paper,Category-Level Articulated Object Pose Estimation,Xiaolong Li,pose-estimation,,,https://github.com/dragonlong/articulated-pose,27
14,Zhang_Fusing_Wearable_IMUs_With_Multi-View_Images_for_Human_Pose_Estimation_CVPR_2020_paper,Fusing Wearable IMUs With Multi-View Images for Human Pose Estimation: A Geometric Approach,Zhe Zhang,3d-absolute-human-pose-estimation,3d-human-pose-estimation,pose-estimation,https://github.com/CHUNYUWANG/imu-human-pose-pytorch,24
15,Yang_Extreme_Relative_Pose_Network_Under_Hybrid_Representations_CVPR_2020_paper,Extreme Relative Pose Network Under Hybrid Representations,Zhenpei Yang,pose-estimation,,,https://github.com/SimingYan/Hybrid_Relative_Pose,20
16,Hu_Single-Stage_6D_Object_Pose_Estimation_CVPR_2020_paper,Single-Stage 6D Object Pose Estimation,Yinlin Hu,6d-pose-estimation,pose-estimation,pose-prediction,https://github.com/cvlab-epfl/single-stage-pose,14
17,Liu_Attention_Mechanism_Exploits_Temporal_Contexts_Real-Time_3D_Human_Pose_Reconstruction_CVPR_2020_paper,Attention Mechanism Exploits Temporal Contexts: Real-Time 3D Human Pose Reconstruction,Ruixu Liu,3d-human-pose-estimation,pose-estimation,,https://github.com/lrxjason/Attention3DHumanPose,12
18,Bhowmik_Reinforced_Feature_Points_Optimizing_Feature_Detection_and_Description_for_a_CVPR_2020_paper,Reinforced Feature Points: Optimizing Feature Detection and Description for a High-Level Task,Aritra Bhowmik,pose-estimation,,,https://github.com/aritra0593/Reinforced-Feature-Points,3
19,Baradad_Height_and_Uprightness_Invariance_for_3D_Prediction_From_a_Single_CVPR_2020_paper,Height and Uprightness Invariance for 3D Prediction From a Single View,Manel Baradad,pose-estimation,,,https://github.com/mbaradad/im2pcl,1
20,Zhou_Monocular_Real-Time_Hand_Shape_and_Motion_Capture_Using_Multi-Modal_Data_CVPR_2020_paper,Monocular Real-Time Hand Shape and Motion Capture Using Multi-Modal Data,Yuxiao Zhou,motion-capture,pose-estimation,,https://github.com/CalciferZh/minimal-hand,314
21,Zhang_Distribution-Aware_Coordinate_Representation_for_Human_Pose_Estimation_CVPR_2020_paper,Distribution-Aware Coordinate Representation for Human Pose Estimation,Feng Zhang,keypoint-detection,multi-person-pose-estimation,pose-estimation,https://github.com/ilovepose/DarkPose,184
22,Wang_Dual_Super-Resolution_Learning_for_Semantic_Segmentation_CVPR_2020_paper,Dual Super-Resolution Learning for Semantic Segmentation,Li Wang,image-super-resolution,pose-estimation,semantic-segmentation,https://github.com/wanglixilinx/DSRL,25
23,Verelst_Dynamic_Convolutions_Exploiting_Spatial_Sparsity_for_Faster_Inference_CVPR_2020_paper,Dynamic Convolutions: Exploiting Spatial Sparsity for Faster Inference,Thomas Verelst,image-classification,pose-estimation,,https://github.com/thomasverelst/dynconv,22
24,Kearney_RGBD-Dog_Predicting_Canine_Pose_from_RGBD_Sensors_CVPR_2020_paper,RGBD-Dog: Predicting Canine Pose from RGBD Sensors,Sinead Kearney,motion-capture,pose-estimation,pose-prediction,https://github.com/CAMERA-Bath/RGBD-Dog,14
25,Schops_Why_Having_10000_Parameters_in_Your_Camera_Model_Is_Better_CVPR_2020_paper,"Why Having 10,000 Parameters in Your Camera Model Is Better Than Twelve",Thomas Schops,calibration,depth-estimation,pose-estimation,https://github.com/puzzlepaint/camera_calibration,221
26,He_Epipolar_Transformers_CVPR_2020_paper,Epipolar Transformers,Yihui He,calibration,edge-detection,pose-estimation,https://github.com/yihui-he/epipolar-transformers,152
27,Zhao_Towards_Better_Generalization_Joint_Depth-Pose_Learning_Without_PoseNet_CVPR_2020_paper,Towards Better Generalization: Joint Depth-Pose Learning Without PoseNet,Wang Zhao,depth-estimation,optical-flow-estimation,pose-estimation,https://github.com/B1ueber2y/TrianFlow,74
28,Varamesh_Mixture_Dense_Regression_for_Object_Detection_and_Human_Pose_Estimation_CVPR_2020_paper,Mixture Dense Regression for Object Detection and Human Pose Estimation,Ali Varamesh,dense-object-detection,object-detection,pose-estimation,https://github.com/alivaramesh/MixtureDenseRegression,7
29,Caesar_nuScenes_A_Multimodal_Dataset_for_Autonomous_Driving_CVPR_2020_paper,nuScenes: A Multimodal Dataset for Autonomous Driving,Holger Caesar,3d-object-detection,autonomous-driving,autonomous-vehicles,https://github.com/traveller59/second.pytorch,906
30,He_Structure_Aware_Single-Stage_3D_Object_Detection_From_Point_Cloud_CVPR_2020_paper,Structure Aware Single-Stage 3D Object Detection From Point Cloud,Chenhang He,3d-object-detection,autonomous-driving,object-detection,https://github.com/skyhehe123/SA-SSD,216
31,Shi_Point-GNN_Graph_Neural_Network_for_3D_Object_Detection_in_a_CVPR_2020_paper,Point-GNN: Graph Neural Network for 3D Object Detection in a Point Cloud,Weijing Shi,3d-object-detection,object-detection,,https://github.com/WeijingShi/Point-GNN,153
32,Shi_PV-RCNN_Point-Voxel_Feature_Set_Abstraction_for_3D_Object_Detection_CVPR_2020_paper,PV-RCNN: Point-Voxel Feature Set Abstraction for 3D Object Detection,Shaoshuai Shi,3d-object-detection,object-detection,,https://github.com/jhultman/PV-RCNN,151
33,Chen_DSGN_Deep_Stereo_Geometry_Network_for_3D_Object_Detection_CVPR_2020_paper,DSGN: Deep Stereo Geometry Network for 3D Object Detection,Yilun Chen,3d-object-detection,object-detection,,https://github.com/chenyilun95/DSGN,128
34,Ding_Learning_Depth-Guided_Convolutions_for_Monocular_3D_Object_Detection_CVPR_2020_paper,Learning Depth-Guided Convolutions for Monocular 3D Object Detection,Mingyu Ding,3d-object-detection,monocular-3d-object-detection,object-detection,https://github.com/dingmyu/D4LCN,113
35,Sun_Disp_R-CNN_Stereo_3D_Object_Detection_via_Shape_Prior_Guided_CVPR_2020_paper,Disp R-CNN: Stereo 3D Object Detection via Shape Prior Guided Instance Disparity Estimation,Jiaming Sun,3d-object-detection,3d-object-detection-from-stereo-images,disparity-estimation,https://github.com/zju3dv/disprcnn,76
36,Wu_MotionNet_Joint_Perception_and_Motion_Prediction_for_Autonomous_Driving_Based_CVPR_2020_paper,MotionNet: Joint Perception and Motion Prediction for Autonomous Driving Based on Bird's Eye View Maps,Pengxiang Wu,3d-object-detection,autonomous-driving,motion-prediction,https://github.com/pxiangwu/MotionNet,58
37,Zhao_SESS_Self-Ensembling_Semi-Supervised_3D_Object_Detection_CVPR_2020_paper,SESS: Self-Ensembling Semi-Supervised 3D Object Detection,Na Zhao,3d-object-detection,image-classification,object-detection,https://github.com/Na-Z/sess,30
38,Xie_MLCVNet_Multi-Level_Context_VoteNet_for_3D_Object_Detection_CVPR_2020_paper,MLCVNet: Multi-Level Context VoteNet for 3D Object Detection,Qian Xie,3d-object-detection,object-detection,,https://github.com/NUAAXQ/MLCVNet,20
39,Peng_IDA-3D_Instance-Depth-Aware_3D_Object_Detection_From_Stereo_Vision_for_Autonomous_CVPR_2020_paper,IDA-3D: Instance-Depth-Aware 3D Object Detection From Stereo Vision for Autonomous Driving,Wanli Peng,3d-object-detection,autonomous-driving,depth-estimation,https://github.com/swords123/IDA-3D,12
40,Vora_PointPainting_Sequential_Fusion_for_3D_Object_Detection_CVPR_2020_paper,PointPainting: Sequential Fusion for 3D Object Detection,Sourabh Vora,3d-object-detection,object-detection,self-driving-cars,https://github.com/rshilliday/painting,1
41,Engelmann_3D-MPA_Multi-Proposal_Aggregation_for_3D_Semantic_Instance_Segmentation_CVPR_2020_paper,3D-MPA: Multi-Proposal Aggregation for 3D Semantic Instance Segmentation,Francis Engelmann,3d-instance-segmentation-1,3d-object-detection,3d-semantic-instance-segmentation,https://github.com/francisengelmann/3D-MPA,33
42,Yao_BlendedMVS_A_Large-Scale_Dataset_for_Generalized_Multi-View_Stereo_Networks_CVPR_2020_paper,BlendedMVS: A Large-Scale Dataset for Generalized Multi-View Stereo Networks,Yao Yao,3d-reconstruction,,,https://github.com/YoYo000/BlendedMVS,137
43,Chen_BSP-Net_Generating_Compact_Meshes_via_Binary_Space_Partitioning_CVPR_2020_paper,BSP-Net: Generating Compact Meshes via Binary Space Partitioning,Zhiqin Chen,3d-reconstruction,3d-shape-representation,,https://github.com/czq142857/BSP-NET-original,73
44,Bozic_DeepDeform_Learning_Non-Rigid_RGB-D_Reconstruction_With_Semi-Supervised_Data_CVPR_2020_paper,DeepDeform: Learning Non-Rigid RGB-D Reconstruction With Semi-Supervised Data,Aljaz Bozic,3d-reconstruction,,,https://github.com/AljazBozic/DeepDeform,64
45,Smith_A_Morphable_Face_Albedo_Model_CVPR_2020_paper,A Morphable Face Albedo Model,William A. P. Smith,3d-reconstruction,face-alignment,image-generation,https://github.com/waps101/AlbedoMM,46
46,Koujan_DeepFaceFlow_In-the-Wild_Dense_3D_Facial_Motion_Estimation_CVPR_2020_paper,DeepFaceFlow: In-the-Wild Dense 3D Facial Motion Estimation,Mohammad Rami Koujan,3d-reconstruction,facial-expression-recognition,motion-capture,https://github.com/mrkoujan/DeepFaceFlow,42
47,Paschalidou_Learning_Unsupervised_Hierarchical_Part_Decomposition_of_3D_Objects_From_a_CVPR_2020_paper,Learning Unsupervised Hierarchical Part Decomposition of 3D Objects From a Single RGB Image,Despoina Paschalidou,3d-reconstruction,,,https://github.com/paschalidoud/hierarchical_primitives,35
48,Chen_A_Neural_Rendering_Framework_for_Free-Viewpoint_Relighting_CVPR_2020_paper,A Neural Rendering Framework for Free-Viewpoint Relighting,Zhang Chen,3d-reconstruction,image-generation,,https://github.com/LansburyCH/relightable-nr,27
49,Liu_Extremely_Dense_Point_Correspondences_Using_a_Learned_Feature_Descriptor_CVPR_2020_paper,Extremely Dense Point Correspondences Using a Learned Feature Descriptor,Xingtong Liu,3d-reconstruction,optical-flow-estimation,,https://github.com/lppllppl920/DenseDescriptorLearning-Pytorch,26
50,Wu_PQ-NET_A_Generative_Part_Seq2Seq_Network_for_3D_Shapes_CVPR_2020_paper,PQ-NET: A Generative Part Seq2Seq Network for 3D Shapes,Rundi Wu,3d-reconstruction,single-view-3d-reconstruction,,https://github.com/ChrisWu1997/PQ-NET,26
51,Cheng_Deep_Stereo_Using_Adaptive_Thin_Volume_Representation_With_Uncertainty_Awareness_CVPR_2020_paper,Deep Stereo Using Adaptive Thin Volume Representation With Uncertainty Awareness,Shuo Cheng,3d-reconstruction,,,https://github.com/touristCheng/UCSNet,13
52,Chibane_Implicit_Functions_in_Feature_Space_for_3D_Shape_Reconstruction_and_CVPR_2020_paper,Implicit Functions in Feature Space for 3D Shape Reconstruction and Completion,Julian Chibane,3d-object-reconstruction,3d-reconstruction,3d-shape-reconstruction,https://github.com/jchibane/if-net,52
53,Guizilini_3D_Packing_for_Self-Supervised_Monocular_Depth_Estimation_CVPR_2020_paper,3D Packing for Self-Supervised Monocular Depth Estimation,Vitor Guizilini,depth-estimation,monocular-depth-estimation,self-driving-cars,https://github.com/TRI-ML/DDAD,122
54,Niklaus_Softmax_Splatting_for_Video_Frame_Interpolation_CVPR_2020_paper,Softmax Splatting for Video Frame Interpolation,Simon Niklaus,depth-estimation,optical-flow-estimation,video-frame-interpolation,https://github.com/sniklaus/softmax-splatting,121
55,Hur_Self-Supervised_Monocular_Scene_Flow_Estimation_CVPR_2020_paper,Self-Supervised Monocular Scene Flow Estimation,Junhwa Hur,depth-estimation,monocular-depth-estimation,optical-flow-estimation,https://github.com/visinf/self-mono-sf,76
56,Yu_Fast-MVSNet_Sparse-to-Dense_Multi-View_Stereo_With_Learned_Propagation_and_Gauss-Newton_Refinement_CVPR_2020_paper,Fast-MVSNet: Sparse-to-Dense Multi-View Stereo With Learned Propagation and Gauss-Newton Refinement,Zehao Yu,depth-estimation,,,https://github.com/svip-lab/FastMVSNet,58
57,Lu_Learning_Video_Object_Segmentation_From_Unlabeled_Videos_CVPR_2020_paper,Learning Video Object Segmentation From Unlabeled Videos,Xiankai Lu,depth-estimation,optical-flow-estimation,scene-flow-estimation,https://github.com/carrierlxk/MuG,51
58,Xian_Structure-Guided_Ranking_Loss_for_Single_Image_Depth_Prediction_CVPR_2020_paper,Structure-Guided Ranking Loss for Single Image Depth Prediction,Ke Xian,depth-estimation,,,https://github.com/KexianHust/Structure-Guided-Ranking-Loss,32
59,Yang_Upgrading_Optical_Flow_to_3D_Scene_Flow_Through_Optical_Expansion_CVPR_2020_paper,Upgrading Optical Flow to 3D Scene Flow Through Optical Expansion,Gengshan Yang,depth-estimation,optical-flow-estimation,,https://github.com/gengshan-y/expansion,15
60,Spencer_DeFeat-Net_General_Monocular_Depth_via_Simultaneous_Unsupervised_Representation_Learning_CVPR_2020_paper,DeFeat-Net: General Monocular Depth via Simultaneous Unsupervised Representation Learning,Jaime Spencer,depth-estimation,monocular-depth-estimation,representation-learning,https://github.com/jspenmar/DeFeat-Net,3
61,Badki_Bi3D_Stereo_Depth_Estimation_via_Binary_Classifications_CVPR_2020_paper,Bi3D: Stereo Depth Estimation via Binary Classifications,Abhishek Badki,autonomous-navigation,depth-estimation,quantization,https://github.com/NVlabs/Bi3D,50
62,Newell_How_Useful_Is_Self-Supervised_Pretraining_for_Visual_Tasks_CVPR_2020_paper,How Useful Is Self-Supervised Pretraining for Visual Tasks?,Alejandro Newell,imitation-learning,monocular-depth-estimation,representation-learning,https://github.com/princeton-vl/selfstudy,30
63,Li_PaStaNet_Toward_Human_Activity_Knowledge_Engine_CVPR_2020_paper,PaStaNet: Toward Human Activity Knowledge Engine,Yong-Lu Li,human-object-interaction-detection,transfer-learning,,https://github.com/DirtyHarryLYL/HAKE,79
64,Liao_PPDM_Parallel_Point_Detection_and_Matching_for_Real-Time_Human-Object_Interaction_CVPR_2020_paper,PPDM: Parallel Point Detection and Matching for Real-Time Human-Object Interaction Detection,Yue Liao,human-object-interaction-detection,object-detection,,https://github.com/YueLiao/PPDM,68
65,Zhou_Cascaded_Human-Object_Interaction_Recognition_CVPR_2020_paper,Cascaded Human-Object Interaction Recognition,Tianfei Zhou,human-object-interaction-detection,,,https://github.com/tfzhou/C-HOI,58
66,Li_Detailed_2D-3D_Joint_Representation_for_Human-Object_Interaction_CVPR_2020_paper,Detailed 2D-3D Joint Representation for Human-Object Interaction,Yong-Lu Li,human-object-interaction-detection,representation-learning,,https://github.com/DirtyHarryLYL/DJ-RN,50
67,Ulutan_VSGNet_Spatial_Attention_Network_for_Detecting_Human_Object_Interactions_Using_CVPR_2020_paper,VSGNet: Spatial Attention Network for Detecting Human Object Interactions Using Graph Convolutions,Oytun Ulutan,human-object-interaction-detection,,,https://github.com/ASMIftekhar/VSGNet,44
68,Wang_Discovering_Human_Interactions_With_Novel_Objects_via_Zero-Shot_Learning_CVPR_2020_paper,Discovering Human Interactions With Novel Objects via Zero-Shot Learning,Suchen Wang,human-object-interaction-detection,region-proposal,zero-shot-learning,https://github.com/scwangdyd/zero_shot_hoi,10
69,Sudhakaran_Gate-Shift_Networks_for_Video_Action_Recognition_CVPR_2020_paper,Gate-Shift Networks for Video Action Recognition,Swathikiran Sudhakaran,action-recognition-in-videos,,,https://github.com/swathikirans/GSM,58
70,Joze_MMTM_Multimodal_Transfer_Module_for_CNN_Fusion_CVPR_2020_paper,MMTM: Multimodal Transfer Module for CNN Fusion,Hamid Reza Vaezi Joze,action-recognition-in-videos,gesture-recognition,hand-gesture-recognition,https://github.com/haamoon/mmtm,7
71,Li_TEA_Temporal_Excitation_and_Aggregation_for_Action_Recognition_CVPR_2020_paper,TEA: Temporal Excitation and Aggregation for Action Recognition,Yan Li,action-recognition-in-videos,,,https://github.com/saijunhu/fancy-video-classification,2
72,Long_Searching_for_Actions_on_the_Hyperbole_CVPR_2020_paper,Searching for Actions on the Hyperbole,Teng Long,action-recognition-in-videos,video-retrieval,zero-shot-learning,https://github.com/Tenglon/hyperbolic_action,1
73,Wu_A_Multigrid_Method_for_Efficiently_Training_Video_Models_CVPR_2020_paper,A Multigrid Method for Efficiently Training Video Models,Chao-Yuan Wu,task-194,action-detection,action-recognition-in-videos,https://github.com/facebookresearch/SlowFast,2592
74,Sommer_Efficient_Derivative_Computation_for_Cumulative_B-Splines_on_Lie_Groups_CVPR_2020_paper,Efficient Derivative Computation for Cumulative B-Splines on Lie Groups,Christiane Sommer,calibration,,,https://github.com/VladyslavUsenko/basalt-mirror,249
75,Yun_Regularizing_Class-Wise_Predictions_via_Self-Knowledge_Distillation_CVPR_2020_paper,Regularizing Class-Wise Predictions via Self-Knowledge Distillation,Sukmin Yun,calibration,image-classification,,https://github.com/alinlab/cs-kd,23
76,Polic_Uncertainty_Based_Camera_Model_Selection_CVPR_2020_paper,Uncertainty Based Camera Model Selection,Michal Polic,autonomous-driving,calibration,,https://github.com/michalpolic/unc_model_selection,6
77,Danelljan_Probabilistic_Regression_for_Visual_Tracking_CVPR_2020_paper,Probabilistic Regression for Visual Tracking,Martin Danelljan,visual-tracking,,,https://github.com/visionml/pytracking,1080
78,Dai_High-Performance_Long-Term_Tracking_With_Meta-Updater_CVPR_2020_paper,High-Performance Long-Term Tracking With Meta-Updater,Kenan Dai,visual-tracking,,,https://github.com/Daikenan/LTMU,62
79,Chen_Siamese_Box_Adaptive_Network_for_Visual_Tracking_CVPR_2020_paper,Siamese Box Adaptive Network for Visual Tracking,Zedu Chen,visual-tracking,,,https://github.com/hqucv/siamban,53
80,Li_AutoTrack_Towards_High-Performance_Visual_Tracking_for_UAV_With_Automatic_Spatio-Temporal_CVPR_2020_paper,AutoTrack: Towards High-Performance Visual Tracking for UAV With Automatic Spatio-Temporal Regularization,Yiming Li,visual-tracking,,,https://github.com/vision4robotics/AutoTrack,26
81,Gao_Recursive_Least-Squares_Estimator-Aided_Online_Learning_for_Visual_Tracking_CVPR_2020_paper,Recursive Least-Squares Estimator-Aided Online Learning for Visual Tracking,Jin Gao,object-tracking,visual-object-tracking,visual-tracking,https://github.com/Amgao/RLS-RTMDNet,1
82,Xu_G-TAD_Sub-Graph_Localization_for_Temporal_Action_Detection_CVPR_2020_paper,G-TAD: Sub-Graph Localization for Temporal Action Detection,Mengmeng Xu,action-detection,action-recognition,temporal-action-proposal-generation,https://github.com/Frostinassiky/gtad,46
83,Wang_Learning_Human-Object_Interaction_Detection_Using_Interaction_Points_CVPR_2020_paper,Learning Human-Object Interaction Detection Using Interaction Points,Tiancai Wang,action-detection,action-localization,spatio-temporal-action-localization,https://github.com/vaesl/IP-Net,17
84,Cioppa_A_Context-Aware_Loss_Function_for_Action_Spotting_in_Soccer_Videos_CVPR_2020_paper,A Context-Aware Loss Function for Action Spotting in Soccer Videos,Anthony Cioppa,action-classification,action-detection,action-spotting,https://github.com/cioppaanthony/context-aware-loss,8
85,Cui_Learning_Dynamic_Relationships_for_3D_Human_Motion_Prediction_CVPR_2020_paper,Learning Dynamic Relationships for 3D Human Motion Prediction,Qiongjie Cui,human-motion-prediction,motion-prediction,,https://github.com/cuiqiongjie/LDRGCN,10
86,Braso_Learning_a_Neural_Solver_for_Multiple_Object_Tracking_CVPR_2020_paper,Learning a Neural Solver for Multiple Object Tracking,Guillem Braso,motion-compensation,motion-prediction,multi-object-tracking,https://github.com/dvl-tum/mot_neural_solver,70
87,Hu_Collaborative_Motion_Prediction_via_Neural_Motion_Message_Passing_CVPR_2020_paper,Collaborative Motion Prediction via Neural Motion Message Passing,Yue Hu,autonomous-vehicles,motion-prediction,,https://github.com/PhyllisH/NMMP,46
88,Wang_3DV_3D_Dynamic_Voxel_for_Action_Recognition_in_Depth_Video_CVPR_2020_paper,3DV: 3D Dynamic Voxel for Action Recognition in Depth Video,Yancheng Wang,3d-human-action-recognition,,,https://github.com/3huo/3DV-Action,28
89,Cheng_Skeleton-Based_Action_Recognition_With_Shift_Graph_Convolutional_Network_CVPR_2020_paper,Skeleton-Based Action Recognition With Shift Graph Convolutional Network,Ke Cheng,skeleton-based-action-recognition,,,https://github.com/kchengiva/Shift-GCN,15
90,Zhang_Semantics-Guided_Neural_Networks_for_Efficient_Skeleton-Based_Human_Action_Recognition_CVPR_2020_paper,Semantics-Guided Neural Networks for Efficient Skeleton-Based Human Action Recognition,Pengfei Zhang,skeleton-based-action-recognition,action-recognition,,https://github.com/microsoft/SGN,14
91,Shi_Weakly-Supervised_Action_Localization_by_Generative_Attention_Modeling_CVPR_2020_paper,Weakly-Supervised Action Localization by Generative Attention Modeling,Baifeng Shi,action-localization,action-recognition,weakly-supervised-action-localization,https://github.com/bfshi/DGAM-Weakly-Supervised-Action-Localization,68
92,He_Momentum_Contrast_for_Unsupervised_Visual_Representation_Learning_CVPR_2020_paper,Momentum Contrast for Unsupervised Visual Representation Learning,Kaiming He,contrastive-learning,object-classification,self-supervised-action-recognition,https://github.com/facebookresearch/moco,1125
93,Han_OccuSeg_Occupancy-Aware_3D_Instance_Segmentation_CVPR_2020_paper,OccuSeg: Occupancy-Aware 3D Instance Segmentation,Lei Han,3d-instance-segmentation-1,instance-segmentation,multi-task-learning,https://github.com/facebookresearch/SparseConvNet,1137
94,Jiang_PointGroup_Dual-Set_Point_Grouping_for_3D_Instance_Segmentation_CVPR_2020_paper,PointGroup: Dual-Set Point Grouping for 3D Instance Segmentation,Li Jiang,3d-instance-segmentation-1,instance-segmentation,scene-understanding,https://github.com/Jia-Research-Lab/PointGroup,94
95,Miech_End-to-End_Learning_of_Visual_Representations_From_Uncurated_Instructional_Videos_CVPR_2020_paper,End-to-End Learning of Visual Representations From Uncurated Instructional Videos,Antoine Miech,action-localization,action-segmentation,video-retrieval,https://github.com/antoine77340/S3D_HowTo100M,43
96,Liu_Deep_Shutter_Unrolling_Network_CVPR_2020_paper,Deep Shutter Unrolling Network,Peidong Liu,motion-estimation,,,https://github.com/ethliup/DeepUnrollNet,3
97,Graber_Dynamic_Neural_Relational_Inference_CVPR_2020_paper,Dynamic Neural Relational Inference,Colin Graber,monocular-visual-odometry,motion-estimation,visual-odometry,https://github.com/cgraber/cvpr_dNRI,2
98,Tassano_FastDVDnet_Towards_Real-Time_Deep_Video_Denoising_Without_Flow_Estimation_CVPR_2020_paper,FastDVDnet: Towards Real-Time Deep Video Denoising Without Flow Estimation,Matias Tassano,denoising,motion-compensation,motion-estimation,https://github.com/m-tassano/fastdvdnet,102
99,Zhang_Weakly-Supervised_Salient_Object_Detection_via_Scribble_Annotations_CVPR_2020_paper,Weakly-Supervised Salient Object Detection via Scribble Annotations,Jing Zhang,edge-detection,object-detection,salient-object-detection,https://github.com/JingZhang617/Scribble_Saliency,34
100,Mu_Learning_From_Synthetic_Animals_CVPR_2020_paper,Learning From Synthetic Animals,Jiteng Mu,edge-detection,object-detection,synthetic-data-generation,https://github.com/JitengMu/Learning-from-Synthetic-Animals,12
101,Gojcic_Learning_Multiview_3D_Point_Cloud_Registration_CVPR_2020_paper,Learning Multiview 3D Point Cloud Registration,Zan Gojcic,point-cloud-registration,,,https://github.com/chrischoy/FCGF,195
102,Lang_SampleNet_Differentiable_Point_Cloud_Sampling_CVPR_2020_paper,SampleNet: Differentiable Point Cloud Sampling,Itai Lang,point-cloud-registration,,,https://github.com/orendv/learning_to_sample,100
103,Yew_RPM-Net_Robust_Point_Matching_Using_Learned_Features_CVPR_2020_paper,RPM-Net: Robust Point Matching Using Learned Features,Zi Jian Yew,point-cloud-registration,,,https://github.com/yewzijian/RPMNet,65
104,Lattas_AvatarMe_Realistically_Renderable_3D_Facial_Reconstruction_In-the-Wild_CVPR_2020_paper,"AvatarMe: Realistically Renderable 3D Facial Reconstruction ""In-the-Wild""",Alexandros Lattas,3d-face-reconstruction,face-generation,face-reconstruction,https://github.com/lattas/avatarme,271
105,Wang_Lightweight_Photometric_Stereo_for_Facial_Details_Recovery_CVPR_2020_paper,Lightweight Photometric Stereo for Facial Details Recovery,Xueying Wang,3d-face-reconstruction,data-augmentation,face-reconstruction,https://github.com/Juyong/FacePSNet,69
