,filename,title,author,task 1,task 2,task 3,github,stars
11,Shih_3D_Photography_Using_Context-Aware_Layered_Depth_Inpainting_CVPR_2020_paper,3D Photography Using Context-Aware Layered Depth Inpainting,Meng-Li Shih,novel-view-synthesis,,,https://github.com/vt-vl-lab/3d-photo-inpainting,3339
12,Wiles_SynSin_End-to-End_View_Synthesis_From_a_Single_Image_CVPR_2020_paper,SynSin: End-to-End View Synthesis From a Single Image,Olivia Wiles,,,,https://github.com/facebookresearch/pytorch3d,3255
13,Sengupta_Background_Matting_The_World_Is_Your_Green_Screen_CVPR_2020_paper,Background Matting: The World Is Your Green Screen,Soumyadip Sengupta,image-matting,,,https://github.com/senguptaumd/Background-Matting,3211
14,Wu_A_Multigrid_Method_for_Efficiently_Training_Video_Models_CVPR_2020_paper,A Multigrid Method for Efficiently Training Video Models,Chao-Yuan Wu,task-194,action-detection,action-recognition-in-videos,https://github.com/facebookresearch/SlowFast,2592
15,Menon_PULSE_Self-Supervised_Photo_Upsampling_via_Latent_Space_Exploration_of_Generative_CVPR_2020_paper,PULSE: Self-Supervised Photo Upsampling via Latent Space Exploration of Generative Models,Sachit Menon,face-hallucination,image-super-resolution,super-resolution,https://github.com/adamian98/pulse,2201
16,Pidhorskyi_Adversarial_Latent_Autoencoders_CVPR_2020_paper,Adversarial Latent Autoencoders,Stanislav Pidhorskyi,latent-variable-models,representation-learning,style-transfer,https://github.com/podgorskiy/ALAE,2161
17,Saito_PIFuHD_Multi-Level_Pixel-Aligned_Implicit_Function_for_High-Resolution_3D_Human_Digitization_CVPR_2020_paper,PIFuHD: Multi-Level Pixel-Aligned Implicit Function for High-Resolution 3D Human Digitization,Shunsuke Saito,3d-object-reconstruction-from-a-single-image,,,https://github.com/facebookresearch/pifuhd,2034
18,Han_GhostNet_More_Features_From_Cheap_Operations_CVPR_2020_paper,GhostNet: More Features From Cheap Operations,Kai Han,image-classification,,,https://github.com/osmr/imgclsmob,1551
19,Choi_StarGAN_v2_Diverse_Image_Synthesis_for_Multiple_Domains_CVPR_2020_paper,StarGAN v2: Diverse Image Synthesis for Multiple Domains,Yunjey Choi,image-generation,image-to-image-translation,,https://github.com/clovaai/stargan-v2,1406
20,Kocabas_VIBE_Video_Inference_for_Human_Body_Pose_and_Shape_Estimation_CVPR_2020_paper,VIBE: Video Inference for Human Body Pose and Shape Estimation,Muhammed Kocabas,3d-human-pose-estimation,3d-pose-estimation,motion-capture,https://github.com/mkocabas/VIBE,1230
21,Radosavovic_Designing_Network_Design_Spaces_CVPR_2020_paper,Designing Network Design Spaces,Ilija Radosavovic,image-classification,architecture-search,object-detection,https://github.com/facebookresearch/pycls,1187
22,Han_OccuSeg_Occupancy-Aware_3D_Instance_Segmentation_CVPR_2020_paper,OccuSeg: Occupancy-Aware 3D Instance Segmentation,Lei Han,3d-instance-segmentation-1,instance-segmentation,multi-task-learning,https://github.com/facebookresearch/SparseConvNet,1137
23,He_Momentum_Contrast_for_Unsupervised_Visual_Representation_Learning_CVPR_2020_paper,Momentum Contrast for Unsupervised Visual Representation Learning,Kaiming He,contrastive-learning,object-classification,self-supervised-action-recognition,https://github.com/facebookresearch/moco,1125
24,Danelljan_Probabilistic_Regression_for_Visual_Tracking_CVPR_2020_paper,Probabilistic Regression for Visual Tracking,Martin Danelljan,visual-tracking,,,https://github.com/visionml/pytracking,1080
25,Caesar_nuScenes_A_Multimodal_Dataset_for_Autonomous_Driving_CVPR_2020_paper,nuScenes: A Multimodal Dataset for Autonomous Driving,Holger Caesar,3d-object-detection,autonomous-driving,autonomous-vehicles,https://github.com/traveller59/second.pytorch,906
26,Chen_BlendMask_Top-Down_Meets_Bottom-Up_for_Instance_Segmentation_CVPR_2020_paper,BlendMask: Top-Down Meets Bottom-Up for Instance Segmentation,Hao Chen,instance-segmentation,real-time-instance-segmentation,semantic-segmentation,https://github.com/aim-uofa/adet,896
27,Liu_ABCNet_Real-Time_Scene_Text_Spotting_With_Adaptive_Bezier-Curve_Network_CVPR_2020_paper,ABCNet: Real-Time Scene Text Spotting With Adaptive Bezier-Curve Network,Yuliang Liu,scene-text,scene-text-detection,text-spotting,https://github.com/aim-uofa/AdelaiDet,896
28,Zhang_Mask_Encoding_for_Single_Shot_Instance_Segmentation_CVPR_2020_paper,Mask Encoding for Single Shot Instance Segmentation,Rufeng Zhang,instance-segmentation,semantic-segmentation,,https://github.com/aim-uofa/AdelaiDet,896
29,Lee_MaskGAN_Towards_Diverse_and_Interactive_Facial_Image_Manipulation_CVPR_2020_paper,MaskGAN: Towards Diverse and Interactive Facial Image Manipulation,Cheng-Han Lee,,,,https://github.com/switchablenorms/CelebAMask-HQ,763
30,Phan-Minh_CoverNet_Multimodal_Behavior_Prediction_Using_Trajectory_Sets_CVPR_2020_paper,CoverNet: Multimodal Behavior Prediction Using Trajectory Sets,Tung Phan-Minh,trajectory-prediction,,,https://github.com/nutonomy/nuscenes-devkit,640
31,Qin_Forward_and_Backward_Information_Retention_for_Accurate_Binary_Neural_Networks_CVPR_2020_paper,Forward and Backward Information Retention for Accurate Binary Neural Networks,Haotong Qin,neural-network-compression,quantization,,https://github.com/JDAI-CV/dabnn,623
32,Yu_Towards_Accurate_Scene_Text_Recognition_With_Semantic_Reasoning_Networks_CVPR_2020_paper,Towards Accurate Scene Text Recognition With Semantic Reasoning Networks,Deli Yu,scene-text,scene-text-recognition,,https://github.com/PaddlePaddle/PaddleOCR,618
33,Peng_Deep_Snake_for_Real-Time_Instance_Segmentation_CVPR_2020_paper,Deep Snake for Real-Time Instance Segmentation,Sida Peng,instance-segmentation,object-localization,real-time-instance-segmentation,https://github.com/zju3dv/snake,584
34,Xie_PolarMask_Single_Shot_Instance_Segmentation_With_Polar_Representation_CVPR_2020_paper,PolarMask: Single Shot Instance Segmentation With Polar Representation,Enze Xie,instance-segmentation,object-detection,semantic-segmentation,https://github.com/xieenze/PolarMask,583
35,Li_GAN_Compression_Efficient_Architectures_for_Interactive_Conditional_GANs_CVPR_2020_paper,GAN Compression: Efficient Architectures for Interactive Conditional GANs,Muyang Li,image-generation,architecture-search,,https://github.com/mit-han-lab/gan-compression,551
36,Shen_Interpreting_the_Latent_Space_of_GANs_for_Semantic_Face_Editing_CVPR_2020_paper,Interpreting the Latent Space of GANs for Semantic Face Editing,Yujun Shen,face-generation,image-generation,,https://github.com/ShenYujun/InterFaceGAN,518
37,Sarlin_SuperGlue_Learning_Feature_Matching_With_Graph_Neural_Networks_CVPR_2020_paper,SuperGlue: Learning Feature Matching With Graph Neural Networks,Paul-Edouard Sarlin,domain-adaptation,homography-estimation,interest-point-detection,https://github.com/magicleap/SuperGluePretrainedNetwork,506
38,Wu_Unsupervised_Learning_of_Probably_Symmetric_Deformable_3D_Objects_From_Images_CVPR_2020_paper,Unsupervised Learning of Probably Symmetric Deformable 3D Objects From Images in the Wild,Shangzhe Wu,,,,https://github.com/elliottwu/unsup3d,504
39,Elsen_Fast_Sparse_ConvNets_CVPR_2020_paper,Fast Sparse ConvNets,Erich Elsen,,,,https://github.com/google/XNNPACK,485
40,Cheng_HigherHRNet_Scale-Aware_Representation_Learning_for_Bottom-Up_Human_Pose_Estimation_CVPR_2020_paper,HigherHRNet: Scale-Aware Representation Learning for Bottom-Up Human Pose Estimation,Bowen Cheng,multi-person-pose-estimation,pose-estimation,representation-learning,https://github.com/HRNet/Higher-HRNet-Human-Pose-Estimation,482
41,Misra_Self-Supervised_Learning_of_Pretext-Invariant_Representations_CVPR_2020_paper,Self-Supervised Learning of Pretext-Invariant Representations,Ishan Misra,object-detection,representation-learning,self-supervised-image-classification,https://github.com/HobbitLong/PyContrast,459
42,Karnewar_MSG-GAN_Multi-Scale_Gradients_for_Generative_Adversarial_Networks_CVPR_2020_paper,MSG-GAN: Multi-Scale Gradients for Generative Adversarial Networks,Animesh Karnewar,image-generation,,,https://github.com/akanimax/BMSG-GAN,454
43,Wang_CNN-Generated_Images_Are_Surprisingly_Easy_to_Spot..._for_Now_CVPR_2020_paper,CNN-Generated Images Are Surprisingly Easy to Spot... for Now,Sheng-Yu Wang,data-augmentation,image-generation,super-resolution,https://github.com/PeterWang512/CNNDetection,444
44,Li_MixNMatch_Multifactor_Disentanglement_and_Encoding_for_Conditional_Image_Generation_CVPR_2020_paper,MixNMatch: Multifactor Disentanglement and Encoding for Conditional Image Generation,Yuheng Li,conditional-image-generation,image-generation,,https://github.com/Yuheng-Li/MixNMatch,424
45,Hu_RandLA-Net_Efficient_Semantic_Segmentation_of_Large-Scale_Point_Clouds_CVPR_2020_paper,RandLA-Net: Efficient Semantic Segmentation of Large-Scale Point Clouds,Qingyong Hu,3d-semantic-segmentation,semantic-segmentation,,https://github.com/QingyongHu/RandLA-Net,418
46,Chen_State-Aware_Tracker_for_Real-Time_Video_Object_Segmentation_CVPR_2020_paper,State-Aware Tracker for Real-Time Video Object Segmentation,Xi Chen,semantic-segmentation,semi-supervised-video-object-segmentation,video-object-segmentation,https://github.com/MegviiDetection/video_analyst,354
47,Yang_Learning_to_Cluster_Faces_via_Confidence_and_Connectivity_Estimation_CVPR_2020_paper,Learning to Cluster Faces via Confidence and Connectivity Estimation,Lei Yang,connectivity-estimation,face-clustering,,https://github.com/yl-1993/learn-to-cluster,349
48,Zhou_Look-Into-Object_Self-Supervised_Structure_Modeling_for_Object_Recognition_CVPR_2020_paper,Look-Into-Object: Self-Supervised Structure Modeling for Object Recognition,Mohan Zhou,fine-grained-image-classification,object-detection,object-recognition,https://github.com/JDAI-CV/DCL,337
49,Cong_DoveNet_Deep_Image_Harmonization_via_Domain_Verification_CVPR_2020_paper,DoveNet: Deep Image Harmonization via Domain Verification,Wenyan Cong,,,,https://github.com/bcmi/Image_Harmonization_Datasets,333
50,Xu_How_to_Train_Your_Deep_Multi-Object_Tracker_CVPR_2020_paper,How to Train Your Deep Multi-Object Tracker,Yihong Xu,multi-object-tracking,multiple-object-tracking,multiple-people-tracking,https://github.com/yihongXU/deepMOT,326
51,Zhou_Monocular_Real-Time_Hand_Shape_and_Motion_Capture_Using_Multi-Modal_Data_CVPR_2020_paper,Monocular Real-Time Hand Shape and Motion Capture Using Multi-Modal Data,Yuxiao Zhou,motion-capture,pose-estimation,,https://github.com/CalciferZh/minimal-hand,314
52,Zhou_BBN_Bilateral-Branch_Network_With_Cumulative_Learning_for_Long-Tailed_Visual_Recognition_CVPR_2020_paper,BBN: Bilateral-Branch Network With Cumulative Learning for Long-Tailed Visual Recognition,Boyan Zhou,representation-learning,,,https://github.com/Megvii-Nanjing/BBN,309
53,Lu_12-in-1_Multi-Task_Vision_and_Language_Representation_Learning_CVPR_2020_paper,12-in-1: Multi-Task Vision and Language Representation Learning,Jiasen Lu,image-retrieval,question-answering,representation-learning,https://github.com/jiasenlu/vilbert_beta,282
54,Song_Revisiting_the_Sibling_Head_in_Object_Detector_CVPR_2020_paper,Revisiting the Sibling Head in Object Detector,Guanglu Song,object-detection,,,https://github.com/Sense-X/TSD,274
55,Lattas_AvatarMe_Realistically_Renderable_3D_Facial_Reconstruction_In-the-Wild_CVPR_2020_paper,"AvatarMe: Realistically Renderable 3D Facial Reconstruction ""In-the-Wild""",Alexandros Lattas,3d-face-reconstruction,face-generation,face-reconstruction,https://github.com/lattas/avatarme,271
56,Xiang_Zooming_Slow-Mo_Fast_and_Accurate_One-Stage_Space-Time_Video_Super-Resolution_CVPR_2020_paper,Zooming Slow-Mo: Fast and Accurate One-Stage Space-Time Video Super-Resolution,Xiaoyu Xiang,super-resolution,video-frame-interpolation,video-super-resolution,https://github.com/Mukosame/Zooming-Slow-Mo-CVPR-2020,268
57,Sommer_Efficient_Derivative_Computation_for_Cumulative_B-Splines_on_Lie_Groups_CVPR_2020_paper,Efficient Derivative Computation for Cumulative B-Splines on Lie Groups,Christiane Sommer,calibration,,,https://github.com/VladyslavUsenko/basalt-mirror,249
58,Zhang_Deep_Unfolding_Network_for_Image_Super-Resolution_CVPR_2020_paper,Deep Unfolding Network for Image Super-Resolution,Kai Zhang,image-super-resolution,super-resolution,,https://github.com/cszn/USRNet,248
59,Song_HybridPose_6D_Object_Pose_Estimation_Under_Hybrid_Representations_CVPR_2020_paper,HybridPose: 6D Object Pose Estimation Under Hybrid Representations,Chen Song,6d-pose-estimation,pose-estimation,,https://github.com/chensong1995/HybridPose,242
60,Luo_Learn_to_Augment_Joint_Data_Augmentation_and_Network_Optimization_for_CVPR_2020_paper,Learn to Augment: Joint Data Augmentation and Network Optimization for Text Recognition,Canjie Luo,data-augmentation,image-augmentation,scene-text,https://github.com/Canjie-Luo/Scene-Text-Image-Transformer,240
61,Tang_Unbiased_Scene_Graph_Generation_From_Biased_Training_CVPR_2020_paper,Unbiased Scene Graph Generation From Biased Training,Kaihua Tang,graph-generation,scene-graph-generation,visual-question-answering,https://github.com/KaihuaTang/Scene-Graph-Benchmark.pytorch,239
62,Su_Instance-Aware_Image_Colorization_CVPR_2020_paper,Instance-Aware Image Colorization,Jheng-Wei Su,colorization,,,https://github.com/ericsujw/InstColorization,237
63,Sofiiuk_F-BRS_Rethinking_Backpropagating_Refinement_for_Interactive_Segmentation_CVPR_2020_paper,F-BRS: Rethinking Backpropagating Refinement for Interactive Segmentation,Konstantin Sofiiuk,interactive-segmentation,,,https://github.com/saic-vul/fbrs_interactive_segmentation,234
64,Fang_Densely_Connected_Search_Space_for_More_Flexible_Neural_Architecture_Search_CVPR_2020_paper,Densely Connected Search Space for More Flexible Neural Architecture Search,Jiemin Fang,image-classification,architecture-search,,https://github.com/JaminFong/DenseNAS,230
65,Li_Learning_Dynamic_Routing_for_Semantic_Segmentation_CVPR_2020_paper,Learning Dynamic Routing for Semantic Segmentation,Yanwei Li,semantic-segmentation,,,https://github.com/yanwei-li/DynamicRouting,228
66,Wang_ECA-Net_Efficient_Channel_Attention_for_Deep_Convolutional_Neural_Networks_CVPR_2020_paper,ECA-Net: Efficient Channel Attention for Deep Convolutional Neural Networks,Qilong Wang,dimensionality-reduction,image-classification,instance-segmentation,https://github.com/BangguWu/ECANet,228
67,Ren_Deep_Image_Spatial_Transformation_for_Person_Image_Generation_CVPR_2020_paper,Deep Image Spatial Transformation for Person Image Generation,Yurui Ren,novel-view-synthesis,,,https://github.com/RenYurui/Global-Flow-Local-Attention,222
68,Jiang_DeeperForensics-1.0_A_Large-Scale_Dataset_for_Real-World_Face_Forgery_Detection_CVPR_2020_paper,DeeperForensics-1.0: A Large-Scale Dataset for Real-World Face Forgery Detection,Liming Jiang,face-swapping,,,https://github.com/EndlessSora/DeeperForensics-1.0,222
69,Schops_Why_Having_10000_Parameters_in_Your_Camera_Model_Is_Better_CVPR_2020_paper,"Why Having 10,000 Parameters in Your Camera Model Is Better Than Twelve",Thomas Schops,calibration,depth-estimation,pose-estimation,https://github.com/puzzlepaint/camera_calibration,221
70,Tancik_StegaStamp_Invisible_Hyperlinks_in_Physical_Photographs_CVPR_2020_paper,StegaStamp: Invisible Hyperlinks in Physical Photographs,Matthew Tancik,steganographics,,,https://github.com/tancik/StegaStamp,218
71,He_Structure_Aware_Single-Stage_3D_Object_Detection_From_Point_Cloud_CVPR_2020_paper,Structure Aware Single-Stage 3D Object Detection From Point Cloud,Chenhang He,3d-object-detection,autonomous-driving,object-detection,https://github.com/skyhehe123/SA-SSD,216
72,Wang_Scale-Equalizing_Pyramid_Convolution_for_Object_Detection_CVPR_2020_paper,Scale-Equalizing Pyramid Convolution for Object Detection,Xinjiang Wang,object-detection,,,https://github.com/jshilong/SEPC,210
73,Fan_Few-Shot_Object_Detection_With_Attention-RPN_and_Multi-Relation_Detector_CVPR_2020_paper,Few-Shot Object Detection With Attention-RPN and Multi-Relation Detector,Qi Fan,few-shot-object-detection,object-detection,,https://github.com/fanq15/Few-Shot-Object-Detection-Dataset,205
74,Yuan_Revisiting_Knowledge_Distillation_via_Label_Smoothing_Regularization_CVPR_2020_paper,Revisiting Knowledge Distillation via Label Smoothing Regularization,Li Yuan,,,,https://github.com/yuanli2333/Teacher-free-Knowledge-Distillation,201
75,Sun_Circle_Loss_A_Unified_Perspective_of_Pair_Similarity_Optimization_CVPR_2020_paper,Circle Loss: A Unified Perspective of Pair Similarity Optimization,Yifan Sun,face-recognition,image-retrieval,person-re-identification,https://github.com/TinyZeaMays/CircleLoss,201
76,Gojcic_Learning_Multiview_3D_Point_Cloud_Registration_CVPR_2020_paper,Learning Multiview 3D Point Cloud Registration,Zan Gojcic,point-cloud-registration,,,https://github.com/chrischoy/FCGF,195
77,Choy_Deep_Global_Registration_CVPR_2020_paper,Deep Global Registration,Christopher Choy,brain-segmentation,image-registration,image-super-resolution,https://github.com/chrischoy/FCGF,195
78,Zhu_SEAN_Image_Synthesis_With_Semantic_Region-Adaptive_Normalization_CVPR_2020_paper,SEAN: Image Synthesis With Semantic Region-Adaptive Normalization,Peihao Zhu,image-generation,,,https://github.com/ZPdesu/SEAN,193
79,Zhu_Semantically_Multi-Modal_Image_Synthesis_CVPR_2020_paper,Semantically Multi-Modal Image Synthesis,Zhen Zhu,image-generation,,,https://github.com/Seanseattle/SMIS,191
80,Cheng_CascadePSP_Toward_Class-Agnostic_and_Very_High-Resolution_Segmentation_via_Global_and_CVPR_2020_paper,CascadePSP: Toward Class-Agnostic and Very High-Resolution Segmentation via Global and Local Refinement,Ho Kei Cheng,scene-parsing,semantic-segmentation,,https://github.com/hkchengrex/CascadePSP,188
81,Zhang_Distribution-Aware_Coordinate_Representation_for_Human_Pose_Estimation_CVPR_2020_paper,Distribution-Aware Coordinate Representation for Human Pose Estimation,Feng Zhang,keypoint-detection,multi-person-pose-estimation,pose-estimation,https://github.com/ilovepose/DarkPose,184
82,Ren_Neural_Blind_Deconvolution_Using_Deep_Priors_CVPR_2020_paper,Neural Blind Deconvolution Using Deep Priors,Dongwei Ren,blind-image-deblurring,deblurring,image-deconvolution,https://github.com/csdwren/SelfDeblur,181
83,Guo_Closed-Loop_Matters_Dual_Regression_Networks_for_Single_Image_Super-Resolution_CVPR_2020_paper,Closed-Loop Matters: Dual Regression Networks for Single Image Super-Resolution,Yong Guo,image-super-resolution,super-resolution,,https://github.com/guoyongcs/DRN,177
84,Prajwal_Learning_Individual_Speaking_Styles_for_Accurate_Lip_to_Speech_Synthesis_CVPR_2020_paper,Learning Individual Speaking Styles for Accurate Lip to Speech Synthesis,K R Prajwal,lip-reading,lip-to-speech-synthesis,speaker-specific-lip-to-speech-synthesis,https://github.com/Rudrabha/Lip2Wav,175
85,Chen_Memory_Enhanced_Global-Local_Aggregation_for_Video_Object_Detection_CVPR_2020_paper,Memory Enhanced Global-Local Aggregation for Video Object Detection,Yihong Chen,video-recognition,region-proposal,video-object-detection,https://github.com/Scalsol/mega.pytorch,172
86,Yu_Searching_Central_Difference_Convolutional_Networks_for_Face_Anti-Spoofing_CVPR_2020_paper,Searching Central Difference Convolutional Networks for Face Anti-Spoofing,Zitong Yu,face-anti-spoofing,face-recognition,architecture-search,https://github.com/ZitongYu/CDCN,171
87,Dong_CentripetalNet_Pursuing_High-Quality_Keypoint_Pairs_for_Object_Detection_CVPR_2020_paper,CentripetalNet: Pursuing High-Quality Keypoint Pairs for Object Detection,Zhiwei Dong,instance-segmentation,object-detection,semantic-segmentation,https://github.com/KiveeDong/CentripetalNet,170
88,Ma_Structure-Preserving_Super_Resolution_With_Gradient_Guidance_CVPR_2020_paper,Structure-Preserving Super Resolution With Gradient Guidance,Cheng Ma,image-super-resolution,super-resolution,,https://github.com/Maclory/SPSR,164
89,Huang_CurricularFace_Adaptive_Curriculum_Learning_Loss_for_Deep_Face_Recognition_CVPR_2020_paper,CurricularFace: Adaptive Curriculum Learning Loss for Deep Face Recognition,Yuge Huang,face-recognition,,,https://github.com/HuangYG123/CurricularFace,162
90,Mustikovela_Self-Supervised_Viewpoint_Learning_From_Image_Collections_CVPR_2020_paper,Self-Supervised Viewpoint Learning From Image Collections,Siva Karthik Mustikovela,metric-learning,self-supervised-learning,,https://github.com/NVlabs/SSV,161
91,Araslanov_Single-Stage_Semantic_Segmentation_From_Image_Labels_CVPR_2020_paper,Single-Stage Semantic Segmentation From Image Labels,Nikita Araslanov,semantic-segmentation,,,https://github.com/visinf/1-stage-wseg,160
92,Zheng_Learning_to_Shadow_Hand-Drawn_Sketches_CVPR_2020_paper,Learning to Shadow Hand-Drawn Sketches,Qingyuan Zheng,,,,https://github.com/qyzdao/ShadeSketch,159
93,Yoo_Rethinking_Data_Augmentation_for_Image_Super-resolution_A_Comprehensive_Analysis_and_CVPR_2020_paper,Rethinking Data Augmentation for Image Super-resolution: A Comprehensive Analysis and a New Strategy,Jaejun Yoo,data-augmentation,denoising,image-restoration,https://github.com/clovaai/cutblur,157
94,Cui_Towards_Discriminability_and_Diversity_Batch_Nuclear-Norm_Maximization_Under_Label_Insufficient_CVPR_2020_paper,Towards Discriminability and Diversity: Batch Nuclear-Norm Maximization Under Label Insufficient Situations,Shuhao Cui,domain-adaptation,,,https://github.com/cuishuhao/BNM,155
95,Shi_Point-GNN_Graph_Neural_Network_for_3D_Object_Detection_in_a_CVPR_2020_paper,Point-GNN: Graph Neural Network for 3D Object Detection in a Point Cloud,Weijing Shi,3d-object-detection,object-detection,,https://github.com/WeijingShi/Point-GNN,153
96,Chu_Detection_in_Crowded_Scenes_One_Proposal_Multiple_Predictions_CVPR_2020_paper,"Detection in Crowded Scenes: One Proposal, Multiple Predictions",Xuangeng Chu,object-detection,,,https://github.com/Purkialo/CrowdDet,153
97,Khrulkov_Hyperbolic_Image_Embeddings_CVPR_2020_paper,Hyperbolic Image Embeddings,Valentin Khrulkov,zero-shot-learning,image-classification,image-retrieval,https://github.com/KhrulkovV/hyperbolic-image-embeddings,153
98,He_Epipolar_Transformers_CVPR_2020_paper,Epipolar Transformers,Yihui He,calibration,edge-detection,pose-estimation,https://github.com/yihui-he/epipolar-transformers,152
99,Shi_PV-RCNN_Point-Voxel_Feature_Set_Abstraction_for_3D_Object_Detection_CVPR_2020_paper,PV-RCNN: Point-Voxel Feature Set Abstraction for 3D Object Detection,Shaoshuai Shi,3d-object-detection,object-detection,,https://github.com/jhultman/PV-RCNN,151
100,Cheng_Panoptic-DeepLab_A_Simple_Strong_and_Fast_Baseline_for_Bottom-Up_Panoptic_CVPR_2020_paper,"Panoptic-DeepLab: A Simple, Strong, and Fast Baseline for Bottom-Up Panoptic Segmentation",Bowen Cheng,instance-segmentation,panoptic-segmentation,semantic-segmentation,https://github.com/bowenc0221/panoptic-deeplab,145
101,Xu_Learning_in_the_Frequency_Domain_CVPR_2020_paper,Learning in the Frequency Domain,Kai Xu,multiple-instance-learning,time-series,time-series-classification,https://github.com/calmevtime1990/supp,144
102,He_PVN3D_A_Deep_Point-Wise_3D_Keypoints_Voting_Network_for_6DoF_CVPR_2020_paper,PVN3D: A Deep Point-Wise 3D Keypoints Voting Network for 6DoF Pose Estimation,Yisheng He,6d-pose-estimation-1,keypoint-detection,pose-estimation,https://github.com/ethnhe/PVN3D,142
103,Deng_Disentangled_and_Controllable_Face_Image_Generation_via_3D_Imitative-Contrastive_Learning_CVPR_2020_paper,Disentangled and Controllable Face Image Generation via 3D Imitative-Contrastive Learning,Yu Deng,contrastive-learning,image-generation,,https://github.com/microsoft/DisentangledFaceGAN,141
104,Hou_Strip_Pooling_Rethinking_Spatial_Pooling_for_Scene_Parsing_CVPR_2020_paper,Strip Pooling: Rethinking Spatial Pooling for Scene Parsing,Qibin Hou,scene-parsing,,,https://github.com/Andrew-Qibin/SPNet,140
105,Zhao_MaskFlownet_Asymmetric_Feature_Matching_With_Learnable_Occlusion_Mask_CVPR_2020_paper,MaskFlownet: Asymmetric Feature Matching With Learnable Occlusion Mask,Shengyu Zhao,optical-flow-estimation,,,https://github.com/microsoft/MaskFlownet,139
106,Jiang_PSGAN_Pose_and_Expression_Robust_Spatial-Aware_GAN_for_Customizable_Makeup_CVPR_2020_paper,PSGAN: Pose and Expression Robust Spatial-Aware GAN for Customizable Makeup Transfer,Wentao Jiang,,,,https://github.com/wtjiang98/PSGAN,137
107,Yao_BlendedMVS_A_Large-Scale_Dataset_for_Generalized_Multi-View_Stereo_Networks_CVPR_2020_paper,BlendedMVS: A Large-Scale Dataset for Generalized Multi-View Stereo Networks,Yao Yao,3d-reconstruction,,,https://github.com/YoYo000/BlendedMVS,137
108,Yin_Dreaming_to_Distill_Data-Free_Knowledge_Transfer_via_DeepInversion_CVPR_2020_paper,Dreaming to Distill: Data-Free Knowledge Transfer via DeepInversion,Hongxu Yin,continual-learning,network-pruning,transfer-learning,https://github.com/NVlabs/DeepInversion,136
109,Choe_Evaluating_Weakly_Supervised_Object_Localization_Methods_Right_CVPR_2020_paper,Evaluating Weakly Supervised Object Localization Methods Right,Junsuk Choe,few-shot-learning,model-selection,object-localization,https://github.com/clovaai/wsolevaluation,135
110,Wang_NAS-FCOS_Fast_Neural_Architecture_Search_for_Object_Detection_CVPR_2020_paper,NAS-FCOS: Fast Neural Architecture Search for Object Detection,Ning Wang,architecture-search,object-detection,,https://github.com/Lausannen/NAS-FCOS,135
